focus_type,Odur,Vdur,Cdur,Rdur,Sylldur,Wdur,O1Hexc,Fallexc,Nucleusfallexc,H_N2exc,pd,Pd_rime,Falldur,Risedur,Hf0_Ef0,L1_Hexc,O1f0_Ef0,L1f0_Ef0,L2f0_Ef0,Risesp,Fallsp
bro,0.018528441,0.198434203,0.216017906,0.207967033,0.13851536,754,-0.009268202,0.050875704,0.063087794,0.071985609,0.182315851,0.65503876,-0.147089387,0.019951219,-0.38413317,-0.006765403,-0.374864969,-0.377367768,-0.435008874,-0.339097208,-0.345882904
bro,-0.250904484,0.147049778,0.074214446,0.124007254,-0.006373947,651,-0.150891076,-0.134853008,-0.112015177,-0.182599603,1.006647921,0.857819905,-0.242198821,-0.496377497,0.020350901,-0.095641556,0.171241977,0.115992457,0.155203909,0.192679072,0.556786393
bro,-0.021410816,0.233784653,0.037482818,0.175493132,0.109534877,683,-0.047628274,-0.200603861,0.065275884,-0.01140526,0.060265842,0.59,-0.267055685,0.098179397,0.055034008,-0.076683357,0.102662283,0.131717365,0.255637869,-0.781053454,0.751168659
bro,0.038601576,0.109424412,0.049265268,0.0898434,0.072013593,678,-0.123094687,-0.039149976,-0.035264258,-0.022906719,0.517151083,0.81372549,-0.298665764,-0.65976644,-0.037691143,-0.021171,0.085403543,-0.016520143,0.001458833,0.032088629,0.131082905
bro,-0.160688712,-0.203818818,0.127646749,-0.063506535,-0.107932354,546,-0.157189699,0.006344452,0.013291867,0.368643428,1.931856189,4.752834469,0.150728701,-0.20873093,0.423635507,-0.024153406,0.580825206,0.447788913,0.417291055,0.115715508,0.042091866
bro,0.146247708,0.089903238,0.15649128,0.11630035,0.129763663,824,0.130676994,0.008536126,0.009185557,-0.002659117,0.249964822,0.464646465,0.318000944,0.846479412,0.003834862,-0.006727305,-0.126842132,0.010562167,-0.004701263,-0.007947393,0.026843083
bro,-0.129989538,0.039193944,0.22795637,0.117307792,0.018857097,634,0.131439652,0.010738065,0.021182842,0.048626158,-0.029882444,0.455555556,0.326630365,0.608729551,-0.039429917,-0.00502411,-0.170869569,-0.034405807,-0.050167981,-0.008253435,0.03287528
bro,0.004826318,0.169331877,0.122117909,0.15389354,0.096183981,544,0.145006397,0.12441958,0.247514841,0.147515171,2.393319536,3.560606058,0.154512575,-0.098055315,0.073099877,0.052925512,-0.071906521,0.020174365,-0.051319703,-0.539751588,0.805239182
bro,-0.005324525,0.148584902,-0.004129036,0.091882926,0.056148163,664,-0.10154887,0.17524228,0.063498785,-0.314956983,1.509006756,4.893410855,0.103538994,-0.289072716,0.449383463,0.10243082,0.550932333,0.346952643,0.274141183,-0.354342745,1.692524453
bro,0.079328294,-0.184328708,-0.422671615,-0.272137439,-0.146667255,632,0.091007351,0.104940038,0.003195654,-0.007568427,-0.25822934,0.662162162,-0.108323461,-0.058673043,-0.068609179,0.05509783,-0.15961653,-0.123707008,-0.173549217,-0.939065488,-0.96876556
bro,-0.487470868,-0.108037815,-0.144415312,-0.123611104,-0.257622231,511,-0.112179189,-0.014447699,-0.028342056,-0.056282724,-0.360147244,-0.131756757,-0.014673367,0.107758917,-0.079376327,-0.002500214,0.032802861,-0.076876114,-0.064928628,-0.023201921,0.984620571
bro,0.254322119,-0.293569089,0.138729255,-0.13475368,0.020519128,789,0.063793879,0.158954228,-0.008742784,-0.013189088,-0.142404568,0.642857143,0.405949999,0.309278153,0.057805401,0.037343177,-0.005988478,0.020462224,-0.101148827,0.120743015,0.3915611
bro,-0.611822334,-0.17550136,0.324265231,0.010399113,-0.201242514,589,0.15399877,-0.015095598,0.026607282,-0.001851736,-0.04896899,0.683229814,0.007322937,-0.12806717,0.006490314,0.006989998,-0.147508455,-0.000499684,0.021585913,-0.05458072,-2.061413092
