focus_type,Odur,Vdur,Cdur,Rdur,Sylldur,Wdur,O1Hexc,Fallexc,Nucleusfallexc,H_N2exc,pd,Pd_rime,Falldur,Risedur,Hf0_Ef0,L1_Hexc,O1f0_Ef0,L1f0_Ef0,L2f0_Ef0,Risesp,Fallsp
bro,0.335694523,0.03929213,-0.003511417,0.022820233,0.153678918,680,-0.163470259,-0.046078482,-0.010791245,-0.022964202,0.052027271,0.860215054,0.048769564,0.261360957,-0.509517636,-0.028117311,-0.346047377,-0.481400325,-0.463439154,-0.107580378,-0.944820457
bro,-0.307960928,-0.008468547,0.250824218,0.100754971,-0.046661079,670,0.099529723,-0.013530933,0.060597357,0.028260153,-0.0195711,0.809954751,0.024694113,0.047823036,-0.211399642,0.059309879,-0.310929365,-0.27070952,-0.197868708,1.240194769,-0.54794167
bro,-0.192147472,-0.02827644,-0.049986006,-0.037830939,-0.11052079,622,-0.008060633,-0.02565419,0.021842626,0.015308786,-0.025256993,0.5,-0.159188147,-0.032619095,-0.266223462,0.01826649,-0.258162829,-0.284489952,-0.240569272,-0.559993768,0.161156411
bro,-0.124281847,0.050028876,0.159382921,0.091945457,0.022776755,564,-0.042937539,0.013590518,0.064506774,0.046580739,0.022123556,0.527363184,-0.075905735,-0.278897476,0.031745111,-0.040609664,0.07468265,0.072354775,0.018154593,0.145607857,-0.179044675
bro,-0.039513072,-0.183749636,0.159587245,-0.017614122,-0.026801456,790,-0.050080266,-0.081065634,-0.060949518,0.047810186,0.034031309,0.85483871,-0.080628824,0.257390701,-0.296401425,0.053065712,-0.246321159,-0.349467137,-0.215335791,0.206167945,1.005417547
bro,-0.170289085,0.236165513,-0.042223561,0.13719177,0.039048848,661,-0.009105597,0.318353081,0.00990114,-0.014082077,0.477944112,1.212121212,-0.279738666,1.153246595,-0.113067826,0.030227904,-0.103962229,-0.14329573,-0.431420907,0.026211137,-1.138037457
bro,0.280917126,0.1482014,-0.201338323,0.007478608,0.097784031,759,-0.023383029,-0.078538651,-0.006557101,-0.025454394,0.00597892,0.873684211,-0.266223915,0.598886191,0.079045663,0.006664143,0.102428692,0.072381521,0.157584314,0.011127561,0.295009752
bro,0.455075324,-0.144229171,0.374080916,0.047007144,0.20694043,837,0.101372082,0.114134606,-0.035067843,-0.041937167,-0.013979495,0.587301587,0.384000036,0.39078048,0.07843892,0.139535956,-0.022933162,-0.061097036,-0.035695686,0.357069922,0.297225508
bro,0.295020955,0.170400295,-0.256764331,0.006218192,0.105268514,737,0.028850514,-0.020273304,0.004375294,0.009951641,0.001644473,0.808510638,0.115812607,0.678423192,-0.063408209,0.036201057,-0.092258722,-0.099609266,-0.043134904,0.053360584,-0.175052657
bro,0.338068764,0.125614631,-0.129355179,0.02415971,0.144307356,700,0.007334695,0.037487347,0.053275935,0.060263483,-0.220846215,0.4875,0.173747613,0.37339878,-0.19863235,0.009581033,-0.205967046,-0.208213383,-0.236119698,0.025658983,0.215757481
bro,0.058090115,0.31928663,-0.319700627,0.050965326,0.054043674,682,-0.078228759,-0.048115255,0.020146908,-0.032675243,-0.028632741,0.828877005,0.008594386,0.230731566,0.009103788,-0.040905583,0.087332547,0.050009371,0.057219043,-0.17728646,-5.598451959
bro,-0.010048466,-0.046285017,-0.008402568,-0.031992098,-0.024711262,607,-0.089821553,-0.137893477,0.045030454,-0.018939767,-0.349086675,0.368421053,-0.393382729,-0.242718053,-0.05210936,-0.073203737,0.037712193,0.021094377,0.085784117,0.301599887,0.350532617
bro,-0.165052474,-0.044534634,0.20058904,0.044580147,-0.023556414,563,0.008418054,0.09785965,-0.013385133,0.009930801,0.424815756,0.53038674,0.19640872,0.324622539,0.027890702,-0.05280235,0.019472648,0.080693052,-0.069968948,-0.162657683,0.498244936
bro,-0.092376716,0.01298893,0.119728206,0.057452666,-0.000300799,696,0.004724347,0.027118845,0.037663135,0.020365523,-0.207733287,0.533333333,0.225554478,0.023242028,0.032487158,0.013557278,0.027762811,0.01892988,0.005368312,0.583308727,0.120231908
bro,0.051229078,-0.101075957,0.235326194,0.048292665,0.049859599,707,-0.026285292,-0.007619101,-0.003206959,-0.005921905,-0.276793341,0.598984772,0.01975855,0.212195519,-0.235360687,-0.032971612,-0.209075395,-0.202389075,-0.227741586,-0.155383167,-0.385610324
bro,-0.15682376,0.171503106,0.046952186,0.118208562,0.009921161,712,0.035562376,0.039372145,0.057414793,0.049705979,-0.024910598,0.848623853,0.040566354,0.570713909,0.143553795,0.07491039,0.10799142,0.068643405,0.10418165,0.131257341,0.970561591
bro,-0.08506399,-0.315311319,0.500908381,-0.055711106,-0.066258839,519,-0.078988994,-0.186240026,0.077010569,0.038061826,-0.227620476,0.673684211,-0.161652583,-0.170868519,-0.162437272,-0.076682211,-0.083448278,-0.085755061,0.023802754,0.448779046,1.152100527
bro,-0.075296295,-0.003784115,0.179135016,0.064992452,0.005327011,696,0.055751081,0.113300419,-0.023898178,0.044707563,-0.091429751,0.961538462,0.282530449,-0.194938744,0.4847204,-0.012462368,0.428969319,0.497182768,0.371419981,0.063929663,0.401020208
bro,0.143570776,-0.059359596,0.21183682,0.057492296,0.090639003,718,0.037872678,-0.196056444,0.02691712,-0.170777411,-0.272169879,0.477832512,-0.183025389,0.256212745,-0.05405222,0.022134794,-0.091924897,-0.076187013,0.142004225,0.086392242,1.071198076
bro,0.011257797,-0.087848259,-0.128133727,-0.103625831,-0.062806846,551,0.009098755,0.007902476,0.082379206,0.033093119,-0.244818104,0.657303371,-0.05604198,-0.079062324,0.296866798,0.006920185,0.287768043,0.289946614,0.288964322,-0.087528223,-0.14100994
bro,-0.249684836,0.012603136,-0.003511417,0.006389665,-0.100575208,553,-0.10083076,-0.114982527,0.074276273,0.100546846,-0.377197711,0.513661202,-0.351931722,-0.218622687,0.453875999,-0.135243095,0.55470676,0.589119094,0.568858526,0.618614185,0.326718279
