"subject","stimuli","response","counter","response_rt","rating","rating_rt","percentage","sum"
108,"33","M214",6,1787.66666666667,4,1321.33333333333,0.260869565217391,23
108,"33","M35",1,1244,5,2097,0.0434782608695652,23
108,"33","M51",6,1321.5,4.2,1519.66666666667,0.260869565217391,23
108,"33","M55",10,1468.7,3.9,1683.3,0.434782608695652,23
108,"45","M35",23,781.782608695652,4.28571428571429,2006.34782608696,1,23
108,"241","M214",1,1189,1,3974,0.0434782608695652,23
108,"241","M51",20,717.65,4.63157894736842,1391.95,0.869565217391304,23
108,"241","M55",2,1755,2,794,0.0869565217391304,23
108,"315","M214",5,573.8,4.4,1819.2,0.25,20
108,"315","M35",15,1055,4.28571428571429,1754.8,0.75,20
109,"21","M214",20,766.2,4.15,1584.35,0.869565217391304,23
109,"21","M55",3,1873.66666666667,4,2065.33333333333,0.130434782608696,23
109,"33","M55",24,486.666666666667,5.79166666666667,1591.625,1,24
109,"45","M35",24,584.75,5.33333333333333,1482.83333333333,1,24
109,"241","M51",4,1263.5,3.25,1370.5,0.166666666666667,24
109,"241","M55",20,748.8,5.4,1541.25,0.833333333333333,24
109,"315","M35",24,414.291666666667,6.16666666666667,1701.70833333333,1,24
110,"21","M214",1,2591,1,1014,0.0416666666666667,24
110,"21","M51",10,548.2,6.4,830.4,0.416666666666667,24
110,"21","M55",13,643.384615384615,6.30769230769231,768.923076923077,0.541666666666667,24
110,"33","M55",24,468.5,6.95833333333333,771.791666666667,1,24
110,"45","M214",9,1038.66666666667,5.88888888888889,983.555555555556,0.375,24
110,"45","M35",15,817.333333333333,6.6,992.066666666667,0.625,24
110,"241","M214",1,1403,7,982,0.0416666666666667,24
110,"241","M51",7,865.428571428571,6.71428571428571,675.714285714286,0.291666666666667,24
110,"241","M55",16,822.1875,6.5625,867.25,0.666666666666667,24
110,"315","M214",7,699.142857142857,5.85714285714286,733.714285714286,0.291666666666667,24
110,"315","M35",17,578.117647058824,6.76470588235294,865.647058823529,0.708333333333333,24
111,"21","M51",24,767.833333333333,3.04347826086957,1977.29166666667,1,24
111,"33","M51",1,2253,2,2529,0.0416666666666667,24
111,"33","M55",23,641.347826086957,4.65217391304348,2192.82608695652,0.958333333333333,24
111,"45","M35",24,671.583333333333,4.81818181818182,2255.5,1,24
111,"241","M51",10,1072,3.8,1928.5,0.416666666666667,24
111,"241","M55",14,463.285714285714,4.25,2081.42857142857,0.583333333333333,24
111,"315","M214",3,1619.66666666667,3,2691,0.125,24
111,"315","M35",21,746.809523809524,5.2,2265.33333333333,0.875,24
112,"21","M214",21,1165,5.47619047619048,2266.38095238095,0.875,24
112,"21","M55",3,1521.66666666667,3.66666666666667,2935.66666666667,0.125,24
112,"33","M55",24,687.416666666667,4.75,2410.75,1,24
112,"45","M214",6,1480.16666666667,4.16666666666667,2000.83333333333,0.25,24
112,"45","M35",18,725.222222222222,5.05555555555556,2065.55555555556,0.75,24
112,"241","M214",1,2155,4,3719,0.0416666666666667,24
112,"241","M51",7,1096.85714285714,3.28571428571429,2381.71428571429,0.291666666666667,24
112,"241","M55",16,1307.25,4.1875,2617,0.666666666666667,24
112,"315","M214",3,442,6.33333333333333,1942.66666666667,0.125,24
112,"315","M35",21,623.47619047619,4.57142857142857,2334.19047619048,0.875,24
113,"21","M214",23,141.782608695652,5.91304347826087,796,1,23
113,"33","M55",24,284.583333333333,4.25,677.583333333333,1,24
113,"45","M214",8,607.125,3.125,734,0.333333333333333,24
113,"45","M35",15,424.533333333333,3.46666666666667,886.733333333333,0.625,24
113,"45","M55",1,2314,2,2603,0.0416666666666667,24
113,"241","M51",8,675.5,2.125,778.875,0.333333333333333,24
113,"241","M55",16,223.4375,4.8125,757.9375,0.666666666666667,24
113,"315","M214",15,285.266666666667,3.8,846.8,0.625,24
113,"315","M35",9,207.444444444444,4.11111111111111,830,0.375,24
