"tone","language","session","id","isi","speaker","vowel_vari","informant","token","syllable","onset","offset","f0mean","excursion","maxloc"
45,"md","128_1",55,"long","ss","dv",128,1,"mii",0.0421853468665815,0.209188543493702,0.125100713235233,0.241340767025145,0.875
21,"md","128_1",56,"long","ss","dv",128,1,"maa",0.0145941667359937,-0.0541448521807137,-0.0605499344303883,0.157432119489103,0.125
33,"md","128_1",57,"long","ss","dv",128,1,"maa",0.0163733782982867,-0.022774951646731,-0.0349473938750947,0.128336396744223,0.125
33,"md","128_1",58,"long","ss","dv",128,1,"mii",0.0729121005376523,-0.0426683231112383,0.0180098038358954,0.156334899316557,0.25
315,"md","128_1",59,"long","ss","dv",128,1,"maa",-0.144963026707903,0.248155295554737,0.00529471481286211,0.393118322262639,1
241,"md","128_1",60,"long","ss","dv",128,1,"maa",0.00758363467756833,-0.00461278195768828,-0.0293417963406622,0.192160526880007,0.25
241,"md","128_1",61,"long","ds","dv",128,1,"mii",0.0626610011268177,-0.0285115797584937,0.0470941366407709,0.219913894881109,0.375
45,"md","128_1",62,"long","ds","dv",128,1,"mii",-0.027831439212935,0.301517178307829,0.105551906248193,0.329348617520764,1
315,"md","128_1",63,"long","ds","dv",128,1,"mii",0.0293727319779311,-0.219400539367775,-0.00272351591382545,0.426996717565401,0.875
241,"md","128_1",64,"long","ds","dv",128,1,"maa",0.135198646056197,-0.0270845073921072,0.0657693439376562,0.162283153448304,0.125
21,"md","128_1",65,"long","ds","dv",128,1,"maa",0.0193874477820542,-0.523081560251135,-0.176297037476834,0.542469008033189,0.125
45,"md","128_1",66,"long","ds","dv",128,1,"maa",-0.0516033041254671,0.0793916558607676,-0.0298662879645704,0.167478866690249,1
33,"md","128_1",67,"long","ds","dv",128,1,"maa",0.0375585360901594,-0.00633826357541543,-0.0216816295699175,0.114530316039162,0.125
315,"md","128_1",68,"long","ds","dv",128,1,"maa",-0.01731850304877,0.140837634989283,-0.0522904990308411,0.370711395591212,1
21,"md","128_1",69,"long","ds","dv",128,1,"mii",-0.0058881780627946,-0.0943424330184346,-0.0798683135949066,0.154055054731027,0.25
33,"md","128_1",70,"long","ds","dv",128,1,"mii",0.0910856596449829,0.0375256704298081,0.0442829811594066,0.107002718887349,0.125
315,"md","128_1",71,"long","ss","sv",128,1,"mii",0.000498917701661166,0.29051706485243,0.10546873896784,0.297357647578733,0.875
21,"md","128_1",72,"long","ss","sv",128,1,"mii",-0.0389443676863718,-0.0853864822420769,-0.0867766572906712,0.134124293181937,0.25
33,"md","128_1",73,"long","ss","sv",128,1,"mii",0.0071632077727174,-0.0530445385490652,-0.0167971003715061,0.117585074212437,0.375
45,"md","128_1",74,"long","ss","sv",128,1,"mii",0.0512322848139268,0.329581681502867,0.170229549407588,0.29999422006791,0.875
241,"md","128_1",75,"long","ss","sv",128,1,"mii",0.109662880137458,0.00204075369527351,0.0718291348204108,0.204938171321567,0.375
33,"md","128_1",76,"long","ss","sv",128,2,"mii",0.000499149884213378,-0.0490615246687464,-0.04282965732555,0.190756119693689,0.25
45,"md","128_1",77,"long","ss","sv",128,2,"mii",-0.0400420498656757,0.224801653649642,0.0807721444930144,0.273702584553408,1
315,"md","128_1",78,"long","ss","sv",128,2,"mii",-0.0196299314274031,-0.469459428923663,-0.148820411248015,0.660565437040852,0.625
