"language","tone","informant","token","syllable","duration","onset","offset","f0mean","excursion","maxloc"
"Thai","45","F2","5","ma",582.520833333334,-0.0430612000649098,0.0116089919809559,-0.0396492827011574,0.0833991528004954,1
"Thai","21","F2","1","mi",726.770833333333,0.0184799082220877,-0.0989387744467936,-0.0472848582749819,0.158225779361107,0.25
"Thai","21","F2","2","mi",718.354166666671,-0.0253942865719674,-0.184529452524294,-0.0787360141739433,0.201873751890694,0.375
"Thai","21","F2","3","mi",682.041666666663,-0.0309526683027955,-0.18839610548176,-0.124105142753302,0.219299936531497,0.125
"Thai","21","F2","4","mi",615.687500000007,-0.0041781941087823,-0.105888159143961,-0.0620831516291327,0.143357131194496,0.25
"Thai","21","F2","5","mi",653.625000000005,-0.00803140315108279,-0.154126018914903,-0.0925299097087544,0.156409114177736,0.125
"Thai","241","F2","1","mi",572.270833333334,0.0892330876689645,-0.18791156488981,0.0876452083423942,0.427515154304173,0.5
"Thai","241","F2","2","mi",625.66666666666,0.0758371199216785,-0.155262706449342,0.111910350566463,0.365197836862058,0.625
"Thai","241","F2","3","mi",575.416666666655,0.0603353485278405,-0.166136612402521,0.0721571804690535,0.323903332775943,0.5
"Thai","241","F2","4","mi",596.749999999986,0.0542950726227003,-0.127947830324622,0.0791936270108279,0.278411001872804,0.5
"Thai","241","F2","5","mi",563.562499999989,0.0420866587486524,-0.197157714353728,0.0274355305097029,0.304170028145567,0.5
"Thai","315","F2","1","mi",758.416666666676,0.0286575214345276,0.220958262353249,0.0276413303697392,0.275290864143734,1
"Thai","315","F2","2","mi",688.291666666657,0.0134233754327714,0.261566343008757,0.0145957110890495,0.348781485116314,1
"Thai","315","F2","3","mi",613.312500000006,0.00613005444032854,0.147793435798083,-0.0315994204518343,0.256415852065365,1
"Thai","315","F2","4","mi",620.437500000008,-0.00245931776728817,0.161920952930125,-0.0406855035536194,0.291177999082028,1
"Thai","315","F2","5","mi",646.500000000003,-0.0424929765743145,0.313876833230597,-0.00660335334962595,0.423894038306537,1
"Thai","33","F2","1","mi",681.166666666655,0.025512466335708,-0.0921425053675874,0.0100064657131192,0.149878399248356,0.375
"Thai","33","F2","2","mi",750.916666666654,0.000109327583153459,-0.103825913598263,0.0324749252842182,0.176694498588234,0.375
"Thai","33","F2","3","mi",629.916666666674,0.0382490456277311,-0.123927780265512,0.0237224764178485,0.188906905781344,0.375
"Thai","33","F2","4","mi",712.833333333322,0.0305789972668053,-0.148057465923708,0.00904032657836958,0.228007061093082,0.375
"Thai","33","F2","5","mi",665.458333333333,-0.000128844683109428,-0.149218718250438,-0.00738799569062367,0.184510427566985,0.375
"Thai","45","F2","1","mi",690.916666666681,0.0451537882669398,0.326870465093775,0.130975157360036,0.281716676826835,1
"Thai","45","F2","2","mi",645.708333333346,0.0607169212780111,0.304679707136915,0.144813290587288,0.243962785858904,1
