Word,Pinyin,Tag,WF,HD,PF,CF,NC,NS,NWF,AoL,NM,REG,AoA,CON,FAM,IMG
哀,ai1,v,7,9,319,69,3,9,26,7,2,0,4.51,4.19,5.06,5.46
埃,ai1,n,1,9,319,99,4,10,2,12,1,-1,5.25,4.67,4.91,3.81
挨,ai1,v,77,9,319,44,4,10,8,4,3,-1,4.34,4.43,5.58,5.25
癌,ai2,n,15,11,26,19,5,17,2,16,1,0,5.94,5.51,6.43,6.44
矮,ai3,a,20,13,48,34,4,13,7,3,1,-1,3.41,5.3,6.83,6.55
爱,ai4,v,418,33,741,826,4,10,40,1,3,0,3.35,4.15,6.68,5.39
碍,ai4,v,10,33,741,52,4,13,7,7,1,0,5.11,3.92,4.97,4
安,an1,v,21,27,451,1010,2,6,64,2,3,0,3.46,3.23,5.77,4.18
鞍,an1,n,2,27,451,12,3,15,3,13,1,1,5.49,5.38,5.68,4.97
岸,an4,n,109,15,438,116,3,8,8,1,2,-1,3.74,6.06,5.94,6.74
案,an4,n,78,15,438,318,3,10,61,3,4,1,4.39,4.68,6,5.25
暗,an4,a,16,15,438,314,3,13,44,4,3,-1,3.74,5.23,6.8,6.18
昂,ang2,v,3,3,37,51,3,8,8,4,3,1,4.77,4.08,5.81,4.94
凹,ao1,a,3,6,34,12,1,5,5,9,1,0,4.72,5.24,5.48,6.25
熬,ao2,v,36,27,12,21,4,14,4,7,3,1,5.21,4.69,6.19,5.17
袄,ao3,n,8,8,39,7,3,9,1,11,1,-1,4.26,6.49,6.35,5.68
扒,ba1,v,34,23,2033,12,2,5,4,2,4,-1,3.87,5.65,6.52,5.56
疤,ba1,n,3,23,2033,12,2,9,5,13,2,1,4.64,6.47,6.71,6.39
笆,ba1,n,1,23,2033,4,2,10,3,4,1,1,4.92,5.72,5,4.73
拔,ba2,v,30,19,99,84,4,8,13,2,3,0,3.81,5.54,6.13,6.25
靶,ba3,n,1,4,3006,4,2,13,6,15,1,1,5.56,6.39,6,5.94
坝,ba4,n,3,15,698,15,2,7,8,8,3,-1,4.75,6.31,5.39,6.43
爸,ba4,n,73,15,698,179,2,8,3,1,1,1,2.21,6.76,7,6.94
罢,ba4,v,15,15,698,125,3,10,13,8,3,0,5,3.76,5.23,4.04
霸,ba4,n,2,15,698,46,3,21,13,15,3,0,5.23,4.1,5.5,4.45
掰,bai1,v,3,2,7,3,4,12,2,2,1,0,5.03,5.51,5.78,5.91
白,bai2,a,220,1,914,1023,1,5,123,1,4,0,2.64,5.78,6.81,6.47
柏,bai3,n,3,11,1089,61,2,9,4,3,3,-1,4.5,6.53,6.29,5.55
摆,bai3,v,165,11,1089,154,4,13,17,2,4,-1,4.05,5.54,6.48,5.84
败,bai4,v,14,14,184,169,2,8,28,5,4,-1,4.03,4.53,5.65,5.25
拜,bai4,v,13,14,184,132,3,9,16,6,3,0,4.5,4.72,6.39,5.13
扳,ban1,v,8,16,693,13,3,7,4,14,2,-1,4.9,5.1,5.5,4.77
班,ban1,n,169,16,693,249,3,10,22,5,4,0,3.63,5.44,6.5,5.45
颁,ban1,v,2,16,693,27,4,10,3,19,1,-1,5.14,4.65,5.45,4.96
斑,ban1,n,9,16,693,26,3,12,16,6,1,0,4.42,5.38,5.74,5.79
搬,ban1,v,97,16,693,67,4,13,5,2,1,1,4.05,5.49,6.61,5.48
板,ban3,n,18,14,389,221,3,8,78,3,3,-1,3.77,6.31,6.33,6.26
办,ban4,v,522,15,1531,691,2,4,22,1,3,0,3.67,3.73,5.87,3.82
伴,ban4,v,22,15,1531,106,3,7,15,3,2,1,3.56,4.43,6.23,5.76
扮,ban4,v,4,15,1531,58,3,7,8,3,1,-1,4.11,5.13,6.56,5.53
拌,ban4,v,8,15,1531,6,3,8,4,5,1,1,4.36,5.3,6.55,5.71
绊,ban4,v,5,15,1531,9,3,8,4,11,1,1,4.46,5.33,6.55,5.56
瓣,ban4,n,2,15,1531,12,5,19,5,2,2,0,4.46,6.05,6.47,5.44
邦,bang1,n,4,13,378,74,2,6,10,8,1,0,4.83,3.94,5.58,3.54
帮,bang1,v,116,13,378,349,3,9,20,2,3,1,3.68,5,6.9,4.94
绑,bang3,v,17,5,161,30,3,9,7,4,1,1,4.79,5.93,6.48,5.68
榜,bang3,n,11,5,161,24,5,14,7,9,1,-1,4.78,4.82,6.34,5.13
膀,bang3,n,1,5,161,49,5,14,5,2,3,1,4.64,5.58,5.94,5.18
傍,bang4,v,3,17,118,21,5,12,5,2,2,-1,4.82,4.13,4.87,4.81
棒,bang4,a,8,17,118,35,3,12,18,5,2,-1,4.03,4.51,5.53,5.26
谤,bang4,v,1,17,118,4,5,12,1,18,1,-1,6.1,4.15,5.81,4.03
包,bao1,v,71,15,546,402,2,5,62,2,5,0,3.18,5.49,6.41,6.12
褒,bao1,v,2,15,546,4,5,15,1,15,1,1,5.65,3.88,5.16,4.41
雹,bao2,n,6,3,125,2,3,13,3,4,1,1,5.17,6.39,4.77,6.25
宝,bao3,n,23,23,802,322,2,8,30,4,2,0,3.05,5.03,6.69,5.03
饱,bao3,a,34,23,802,46,3,8,15,3,1,1,3.42,5.32,6.68,6.43
保,bao3,v,51,23,802,733,3,9,46,6,3,0,4.11,3.62,5.94,4.32
堡,bao3,n,3,23,802,73,4,12,9,4,3,1,5,5.81,5.81,6.11
报,bao4,n,359,22,1058,1073,3,7,74,1,3,0,3.79,5.38,6.33,4.38
抱,bao4,v,115,22,1058,219,3,8,16,2,3,1,3.25,5.97,6.74,6.52
豹,bao4,n,3,22,1058,27,3,10,4,7,1,-1,4.64,6.79,6.57,6.12
暴,bao4,a,20,22,1058,122,4,15,35,7,4,0,4.88,3.44,6.06,4.42
爆,bao4,v,6,22,1058,75,5,19,11,5,1,1,4.88,4.69,6.28,5.48
悲,bei1,a,3,11,236,130,2,12,25,6,2,-1,4.2,4.85,6.59,5.84
碑,bei1,n,21,11,236,28,3,13,6,3,1,1,5.05,5.75,6.28,5.41
北,bei3,n,98,2,433,794,2,5,24,2,2,0,2.68,5.13,6.6,5.58
贝,bei4,n,3,42,1911,154,1,4,5,2,2,0,3.53,6.08,6.39,5.21
狈,bei4,n,3,42,1911,12,2,7,1,10,1,1,5.17,5.33,4.52,3.86
备,bei4,v,35,42,1911,430,2,8,29,3,3,0,4.2,3.67,5.13,4.14
背,bei4,v,113,42,1911,272,3,9,44,1,5,1,3.41,5.95,6.74,6.03
悖,bei4,v,2,42,1911,5,4,10,2,15,1,0,6.03,3.79,5.03,3.53
奔,ben1,v,46,10,105,146,3,8,20,4,2,0,4.03,5.38,6.55,6.41
笨,ben4,a,9,7,24,38,2,11,7,3,3,1,3.63,4.87,6.87,5.61
崩,beng1,v,4,12,48,23,3,11,10,7,4,-1,5.09,4.41,5.39,4.82
绷,beng1,v,10,12,48,17,3,11,4,7,3,-1,5.13,4.8,5.94,5.5
泵,beng4,n,7,9,49,4,2,9,5,24,1,-1,5.64,6,5.53,5.29
迸,beng4,v,3,9,49,10,3,9,5,9,1,-1,5.18,4.56,5.53,4.74
蹦,beng4,v,24,9,49,14,5,18,6,2,1,1,4.15,5.93,6.86,6.61
逼,bi1,v,42,11,66,92,4,12,15,7,3,0,4.83,4.26,6.44,5.52
鼻,bi2,n,5,3,117,87,3,14,17,5,2,0,3.03,6.89,6.84,6.67
币,bi4,n,19,120,1243,76,2,4,8,16,1,0,4.08,6.58,6.59,5.9
毕,bi4,v,6,120,1243,165,3,6,9,5,2,1,4.62,3.18,5.84,3.68
闭,bi4,v,41,120,1243,113,2,6,15,4,2,0,3.58,5.46,6.47,6.44
毙,bi4,v,2,120,1243,18,4,10,5,3,1,1,5.39,5.14,5.1,5.68
敝,bi4,v,2,120,1243,9,2,11,2,10,1,0,5.43,3.67,4.22,3.48
痹,bi4,v,1,120,1243,5,3,13,1,15,1,0,5.9,3.13,3.55,3.82
辟,bi4,v,6,120,1243,30,4,13,6,9,4,0,5.42,4.03,5.03,3.39
弊,bi4,n,5,120,1243,15,3,14,8,18,2,1,5.32,4.1,5.84,4.38
碧,bi4,a,2,120,1243,42,3,14,11,2,1,0,4.34,5.03,6.41,5.71
蔽,bi4,v,1,120,1243,19,3,14,8,5,2,1,5.5,4.41,5.28,3.94
壁,bi4,n,8,120,1243,98,5,16,35,2,3,-1,4.67,6.05,6.83,5.74
避,bi4,v,26,120,1243,144,5,16,8,7,1,-1,4.47,5.43,6.43,5.96
臂,bi4,n,16,120,1243,97,5,17,19,2,1,-1,3.8,6.32,6.25,6.38
边,bian1,n,192,21,1571,846,2,5,45,1,4,0,3.18,4.48,6.16,5.41
编,bian1,v,46,21,1571,152,3,12,27,6,4,1,4.31,4.84,6,5.29
鞭,bian1,n,8,21,1571,42,3,18,12,7,3,1,4.5,6.19,5.84,6.43
贬,bian3,v,3,13,61,13,3,8,5,15,2,-1,5.33,4.3,5.81,5.15
扁,bian3,a,1,13,61,19,2,9,8,1,2,0,3.98,5.1,6.16,5.16
匾,bian3,n,3,13,61,6,3,11,3,6,1,1,5.3,6.79,5.47,5.81
变,bian4,v,317,31,2074,708,3,8,59,1,1,0,3.45,4.31,6.72,5.16
辨,bian4,v,9,31,2074,31,5,16,6,4,1,0,4.74,4.97,6.29,5.75
辩,bian4,v,15,31,2074,64,5,16,19,7,1,0,5.03,4.7,6.47,5.71
辫,bian4,n,2,31,2074,11,5,17,6,5,2,0,4.2,6.83,6.31,5.65
标,biao1,v,8,42,228,324,2,9,27,7,3,-1,4.21,4.33,6.06,4.76
表,biao3,n,33,7,948,964,2,8,57,2,5,0,3.46,6.54,6.84,5.76
裱,biao3,v,1,7,948,2,3,13,1,14,1,1,6.08,5.22,3.61,5.21
憋,bie1,v,33,6,28,12,3,15,3,10,2,-1,5.49,4.94,5.16,6.04
鳖,bie1,n,31,6,28,4,5,19,2,18,1,-1,5.58,6.74,5.25,5.52
蹩,bie2,v,1,9,1205,3,4,18,2,19,1,-1,6.33,4.54,4.34,3.87
瘪,bie3,v,2,2,0,5,4,15,5,21,2,0,5.97,4.35,4.63,5.15
宾,bin1,n,2,29,39,87,3,10,9,2,1,-1,4.32,5.08,6.28,4.68
滨,bin1,n,7,29,39,28,4,13,7,7,2,1,5.53,5.62,5.69,4.55
殡,bin4,n,2,13,6,5,4,14,1,9,1,1,6.18,4.15,5,4.24
鬓,bin4,n,2,13,6,8,5,20,3,6,1,1,5.92,6.06,4.97,6.18
冰,bing1,n,62,10,513,165,2,6,30,2,3,0,3.03,6.95,6.84,6.6
兵,bing1,n,146,10,513,431,2,7,71,3,3,0,3.6,6.68,6.71,6.34
柄,bing3,n,2,23,107,36,3,9,7,7,3,1,5.13,6.26,6,5.26
饼,bing3,n,7,23,107,27,3,9,11,3,2,1,3.44,6.58,6.42,6.75
病,bing4,n,330,17,531,372,3,10,77,3,3,1,3.31,5.8,6.62,6.52
拨,bo1,v,51,27,386,58,4,8,13,1,3,-1,4.49,5.45,6.55,5.56
波,bo1,n,7,27,386,273,2,8,32,1,2,-1,3.86,5.54,6.67,6
剥,bo1,v,11,27,386,29,3,10,12,4,1,0,4.55,5.21,6.52,5.68
脖,bo2,n,1,27,371,39,4,11,5,3,2,0,3.76,6.65,6.46,7
播,bo1,v,11,27,386,86,3,15,14,4,2,-1,4.75,5.05,6.42,5.2
伯,bo2,n,11,69,371,230,2,7,9,2,3,-1,3.28,6.18,6.61,5.71
驳,bo2,v,2,69,371,29,4,7,12,6,3,-1,6,4.35,5.63,4.62
箔,bo2,n,1,69,371,2,3,14,1,13,3,1,6.21,5.6,4.88,4.91
薄,bo2,a,17,69,371,81,4,16,17,4,5,-1,4.36,5.22,6,6.04
跛,bo3,v,4,4,21,4,3,12,1,22,1,-1,5.53,5.25,5.31,5.71
补,bu3,v,81,10,207,141,2,7,27,2,3,-1,4.03,4.67,6.5,4.52
捕,bu3,v,7,10,207,73,2,10,15,3,1,-1,4.34,5.28,6,6.15
布,bu4,n,37,26,16549,473,2,5,47,2,4,0,3.4,6.84,6.71,6.52
部,bu4,n,183,26,16549,1536,3,10,62,2,3,0,4.11,3.68,5.32,3.82
簿,bu4,n,3,26,16549,12,4,19,5,15,1,1,4.8,5.68,5.69,5.06
擦,ca1,v,44,3,130,63,5,17,11,1,3,1,3.64,5.92,6.4,6.48
猜,cai1,v,43,2,67,82,3,11,9,5,2,-1,4.08,4.85,6.87,5.94
材,cai2,n,2,7,1364,158,2,7,22,4,3,1,3.72,5.2,6.55,5.06
财,cai2,n,42,7,1364,210,2,7,27,5,1,1,3.9,5.45,7,5.82
裁,cai2,v,8,7,1364,70,3,12,14,8,3,-1,4.44,5.45,6.03,6.12
采,cai3,v,41,11,417,269,2,8,22,2,4,0,3.87,5.08,6.55,5.91
彩,cai3,a,7,11,417,148,3,11,34,2,3,1,3.87,4.25,6.48,5.59
踩,cai3,v,23,11,417,24,4,15,1,3,1,1,3.95,6.26,6.74,6.12
菜,cai4,n,166,4,239,160,3,11,43,2,2,1,3.22,6.28,6.57,6.74
参,can1,v,47,12,366,372,3,8,26,1,4,0,3.9,3.43,5.97,4.38
餐,can1,n,3,12,366,125,3,16,18,2,2,0,4.31,5.68,6.87,6.12
残,can2,v,15,9,153,120,2,9,26,4,3,-1,4.59,4.25,5.48,5.47
蚕,can2,n,2,9,153,10,3,10,15,5,1,-1,4.28,6.92,6.57,5.97
惨,can3,a,16,8,45,81,4,11,15,5,3,1,4.64,3.95,6,5.82
仓,cang1,n,1,19,162,39,2,4,9,13,1,0,4.03,5.62,6.53,5.26
苍,cang1,a,2,19,162,75,3,7,25,2,1,1,4.25,2.97,5.13,3.82
舱,cang1,n,13,19,162,28,3,10,9,6,1,1,4.83,6.14,5.61,6.43
藏,cang2,v,33,5,122,201,5,17,30,3,4,-1,4.34,5.69,6.17,6.26
操,cao1,v,25,3,97,88,5,16,15,4,4,0,4.47,4.24,6.07,4.61
槽,cao2,n,1,11,42,9,3,15,10,6,2,1,5.25,5.81,5.23,5.93
草,cao3,n,78,6,446,223,3,9,82,1,4,-1,3.08,6.72,6.9,6.61
侧,ce4,n,23,27,422,93,3,8,15,5,3,-1,4.28,4.58,5.34,4.94
厕,ce4,n,4,27,422,18,3,8,2,5,2,-1,3.63,6.05,6.71,6.38
测,ce4,v,11,27,422,121,3,9,23,8,2,-1,4.64,4.33,6.53,4.94
策,ce4,n,5,27,422,214,2,12,19,10,4,-1,4.92,4.1,5.88,3.61
叉,cha1,v,7,21,126,25,2,3,9,9,4,0,4.13,5.1,5.19,5.06
杈,cha1,n,3,21,126,2,3,7,3,5,2,1,5.11,6.14,4.13,5.86
插,cha1,v,28,21,126,79,3,12,16,3,1,0,4.24,5.65,6.65,6.15
查,cha2,v,88,16,626,383,3,9,28,5,3,-1,3.82,4.85,6.59,5.15
茶,cha2,n,78,16,626,140,3,9,27,1,2,0,3.55,6.84,6.77,6.67
搽,cha2,v,1,16,626,1,4,12,1,24,1,1,5.46,4.78,4.78,3.81
察,cha2,v,3,16,626,283,4,14,18,2,1,0,4.29,3.89,5.68,4.14
岔,cha4,n,4,10,45,10,3,7,7,10,3,0,4.94,4.89,5.26,5.79
差,cha4,a,51,10,45,263,2,9,38,4,5,0,3.39,4.16,5.87,4.75
拆,chai1,v,28,3,259,40,2,8,8,6,2,-1,4.67,5.46,6.3,5.96
柴,chai2,n,10,7,394,42,3,10,24,2,1,-1,3.83,6.28,5.97,6.61
豺,chai2,n,1,7,394,2,2,10,6,7,1,-1,5.68,6.16,5.84,4.81
掺,chan1,v,7,12,24,8,4,11,4,7,1,1,5.25,4.95,5.23,5.64
搀,chan1,v,13,12,24,8,4,12,5,8,2,0,4.94,5.76,5.58,6
馋,chan2,a,3,45,71,4,4,12,3,4,2,0,4.4,4.76,5.94,6.33
缠,chan2,v,19,45,71,57,3,13,12,6,2,1,4.5,5.26,6.41,5.58
蝉,chan2,n,1,45,71,11,3,14,4,4,1,-1,4.69,6.74,6.42,5.82
产,chan3,v,50,31,2379,1152,2,6,68,2,4,0,3.56,3.97,5.74,4.68
铲,chan3,v,8,31,2379,9,3,11,4,7,2,1,4.77,6,6.22,5.52
颤,chan4,v,4,9,61,73,7,19,21,5,2,0,4.88,5.41,6.16,5.77
昌,chang1,a,1,18,19,73,2,8,1,13,1,0,4.78,3.18,5.69,3.29
长,chang2,a,268,27,2999,1794,1,4,150,1,5,0,2.49,4.97,6.73,6.56
肠,chang2,n,9,27,2999,37,2,7,18,5,1,-1,4.33,6.45,6.55,6.15
尝,chang2,v,53,27,2999,64,4,9,8,5,2,-1,3.84,5.5,6.87,6.35
偿,chang2,v,3,27,2999,56,5,11,10,15,2,1,4.6,4.08,5.47,4.29
厂,chang3,n,512,11,1032,309,1,2,27,1,3,0,3,5.81,6.06,6.15
敞,chang3,v,4,11,1032,22,4,12,7,5,2,-1,4.87,4.93,6.16,5.29
畅,chang4,a,3,12,319,39,2,8,14,7,2,0,5.19,3,5.74,4.57
唱,chang4,v,133,12,319,133,3,11,14,1,2,1,3.41,6.23,6.93,6.52
抄,chao1,v,23,10,471,27,3,7,10,5,3,-1,3.82,5.78,6.87,6.56
超,chao1,v,52,10,471,193,4,12,17,6,1,-1,4.11,4.08,5.42,4.63
巢,chao2,n,11,16,156,16,2,11,5,8,1,-1,4.97,6.42,5.77,6.56
潮,chao2,n,23,16,156,99,5,15,30,2,3,1,4.59,6.05,6.61,5.74
吵,chao3,v,48,6,76,54,3,7,9,4,3,-1,3.44,5.33,6.63,5.87
炒,chao3,v,56,6,76,19,3,8,3,6,1,-1,4.08,5.33,6.42,5.84
车,che1,n,433,9,1143,884,1,4,102,2,4,0,2.65,6.84,6.9,6.48
扯,che3,v,45,4,64,64,2,7,18,8,3,-1,4.66,5.86,5.77,6
彻,che4,a,2,16,206,98,3,7,8,6,1,-1,4.97,3.03,5,3.55
撤,che4,v,47,16,206,64,5,15,7,5,2,0,4.95,5.03,6.61,4.94
尘,chen2,n,2,33,542,72,2,6,26,4,2,0,3.95,6.03,6.53,5.35
臣,chen2,n,33,33,542,132,1,6,6,10,3,0,4.28,5.31,6.48,5.06
沉,chen2,v,36,33,542,328,3,7,50,3,3,-1,3.78,5.38,6.5,5.29
陈,chen2,a,3,33,542,347,2,7,17,3,4,-1,4.38,3.28,5.39,4.41
闯,chuang3,v,48,17,35,52,3,6,5,4,3,0,4.35,5.13,6.44,5.58
衬,chen4,v,4,17,93,33,2,8,12,3,2,-1,4.31,4.22,5.23,4.48
称,chen4,v,120,17,93,311,3,10,34,4,4,0,4.32,5.05,6.47,5.26
撑,cheng1,v,19,31,26,41,5,15,4,6,3,-1,4.95,5.23,6.34,5.32
成,cheng2,v,903,50,3769,2191,2,6,99,1,4,0,3.17,3.22,5.55,3.64
呈,cheng2,v,29,50,3769,49,2,7,7,5,3,-1,4.56,4,5.39,3.82
诚,cheng2,a,8,50,3769,126,3,8,19,2,2,1,4,3.75,6.25,4.94
城,cheng2,n,171,50,3769,598,3,9,27,2,2,1,3.8,6.5,6.78,6.42
乘,cheng2,v,62,50,3769,112,3,10,18,3,3,0,3.84,4.68,6.48,5.47
惩,cheng2,v,1,50,3769,32,4,12,9,10,1,-1,5.28,4.86,6,5.43
程,cheng2,n,3,50,3769,515,3,12,36,7,3,1,4.95,3.38,6.09,3.32
澄,cheng2,a,1,50,3769,24,5,15,4,3,2,-1,5.42,4.05,4.69,4.47
逞,cheng3,v,3,8,6,11,3,10,3,15,2,1,5.65,3,5.25,3.39
秤,cheng4,n,9,1,239,6,3,10,10,4,1,-1,4.6,6.51,5.61,6.32
吃,chi1,v,998,33,1014,604,3,6,32,1,4,-1,2.61,6.45,7,6.85
弛,chi2,v,2,30,531,6,2,6,4,14,1,-1,5.03,4.62,5.42,4.5
池,chi2,n,11,30,531,66,2,6,13,2,3,-1,3.58,6.49,6.59,6
驰,chi2,v,3,30,531,39,3,6,11,7,2,-1,5.05,4.92,6.45,5.82
迟,chi2,a,19,30,531,115,2,7,16,2,2,1,3.78,4.51,5.71,5.18
持,chi2,v,51,30,531,519,3,9,19,4,3,-1,4.64,4.87,6.38,4.58
齿,chi3,n,3,22,177,44,3,8,13,5,3,-1,3.03,6.59,6.53,6.69
耻,chi3,n,2,22,177,34,2,10,8,7,1,-1,4.74,3.45,5.78,4.82
斥,chi4,v,3,39,151,39,1,5,10,12,3,0,4.75,4.76,5.52,5.61
赤,chi4,v,1,39,151,62,2,7,26,2,3,0,4.82,3.4,4.16,4.65
炽,chi4,v,2,39,151,17,3,9,5,11,1,1,5.49,3.58,4.1,3.71
翅,chi4,n,2,39,151,21,4,10,11,2,2,-1,3.82,6.32,6.56,6.1
充,chong1,v,9,18,557,252,3,6,25,4,3,0,4.13,3.54,6,4.39
冲,chong1,v,114,18,557,294,2,6,43,2,4,-1,3.8,4.82,6.38,5.17
虫,chong2,n,13,11,424,56,1,6,64,1,1,0,2.6,6.64,6.37,6.81
崇,chong2,v,2,11,424,69,3,11,9,10,2,-1,5.33,2.84,5.25,3.26
宠,chong3,v,5,3,8,34,2,8,7,16,1,-1,4.95,3.78,6.47,5.12
抽,chou1,v,102,7,162,132,2,8,21,3,4,-1,4.17,5.53,5.87,6.11
仇,chou2,n,8,34,228,101,2,4,11,7,2,-1,4.18,4.15,6.25,4.87
绸,chou2,n,6,34,228,22,4,11,11,4,1,-1,5.33,5.85,6.35,5.47
愁,chou2,v,12,34,228,58,3,13,20,6,1,-1,4.4,4.68,5.97,5.45
稠,chou2,a,1,34,228,4,4,13,4,4,2,-1,5.18,4.38,5.66,5.35
筹,chou2,v,7,34,228,66,3,13,13,7,2,-1,5.87,3.5,5.28,3.74
酬,chou2,n,4,34,228,27,2,13,9,8,3,-1,5.3,4.87,6.38,5.35
丑,chou3,a,26,10,53,51,1,4,14,4,4,0,3.13,5.05,6.71,5.68
瞅,chou3,v,47,10,53,18,3,14,2,3,1,-1,5.15,6.24,5.84,5.55
臭,chou4,a,45,4,45,42,2,10,8,5,3,-1,3.44,5.53,6.77,6.82
出,chu1,v,2166,7,4134,4262,2,5,129,1,5,0,2.58,4.72,6.52,5.13
初,chu1,n,148,7,4134,278,2,7,35,7,1,0,4.18,3.33,4.94,3.23
厨,chu2,n,1,30,408,54,5,12,5,7,1,-1,4.03,6.03,6.44,5.55
锄,chu2,n,3,30,408,5,3,12,3,2,3,-1,4.14,6.47,5.26,5.93
雏,chu2,a,1,30,408,7,4,13,3,15,1,0,5.59,4.26,5.16,4.55
储,chu3,v,2,15,414,46,4,12,10,8,1,-1,5,5.03,5.77,5.93
处,chu4,n,131,34,816,910,2,5,56,2,4,0,3.83,3.54,5.06,3.96
怵,chu4,a,3,34,816,2,3,8,2,21,1,-1,6.51,3.33,3.52,4
触,chu4,v,10,34,816,99,4,13,17,6,2,-1,4.45,5.33,6.44,5.55
矗,chu4,v,2,34,816,7,6,24,2,3,1,0,5.82,4.33,4.87,4.82
揣,chuai3,v,13,1,0,12,3,12,3,13,3,0,5.23,4.98,6.13,5.26
踹,chuai4,v,8,3,4,4,4,16,1,17,1,0,5.18,5.92,6.09,5.81
穿,chuan1,v,238,6,373,293,3,9,19,2,3,0,3.3,5.46,6.84,5.97
传,chuan2,v,126,12,1001,555,2,6,49,4,4,-1,4.08,4.82,6.33,5.52
船,chuan2,n,208,12,1001,256,3,11,43,1,1,-1,3.4,6.84,6.74,6.74
喘,chuan3,v,19,4,48,53,3,12,7,3,1,0,4.75,5.92,6.13,6.23
疮,chuang1,n,4,10,233,6,3,9,7,13,1,-1,5.95,5.87,5.72,5.71
窗,chuang1,n,63,10,233,173,5,12,23,1,1,-1,3.15,6.95,6.81,6.71
床,chuang2,n,102,3,252,215,2,7,27,3,2,0,2.59,6.9,7,6.91
创,chuang4,v,62,7,282,286,3,6,22,6,2,-1,4.67,3.8,6.38,5.18
吹,chui1,v,118,3,166,97,3,7,16,1,3,0,3.33,5.95,6.83,6.13
炊,chui1,v,1,3,166,7,3,8,2,5,1,1,4.92,4.3,4.75,4.88
垂,chui2,v,8,16,99,77,1,8,19,4,3,0,4.2,4.79,6,4.68
捶,chui2,v,8,16,99,9,2,11,2,17,1,1,5.11,6.11,5.61,6.26
锤,chui2,n,3,16,99,11,2,13,8,4,3,1,4.61,6.47,5.74,6.63
春,chun1,n,51,17,227,267,2,9,39,2,1,0,2.85,5.63,6.97,6.55
纯,chun2,a,38,20,174,123,2,7,15,9,1,-1,4.34,4.08,6.3,4.93
唇,chun2,n,6,20,174,106,4,10,9,6,1,-1,3.82,6.95,6.58,6.83
醇,chun2,n,1,20,174,10,4,15,8,15,3,-1,5.75,3.86,4.71,4.43
蠢,chun3,a,6,7,10,32,4,21,4,12,2,1,4.78,4.7,6.4,6.04
戳,chuo1,v,3,2,8,13,5,18,5,11,3,-1,5.74,5.48,6.1,5.88
辍,chuo4,v,2,22,13,3,5,12,1,16,1,0,5.4,4.36,5.63,3.58
词,ci2,n,31,31,290,135,4,7,28,3,3,-1,3.64,5.73,6.9,5.79
祠,ci2,n,3,31,290,7,4,9,4,18,1,1,5.82,5.48,5.59,4.65
瓷,ci2,n,6,31,290,20,4,10,8,9,1,1,5.08,6.3,6.63,5.53
慈,ci2,a,2,31,290,69,4,13,23,2,2,-1,4.83,4.49,6.45,4.58
辞,ci2,v,13,31,290,87,4,13,5,7,3,0,4.95,4.03,6,4.68
磁,ci2,n,5,31,290,21,4,14,26,14,2,-1,5.53,4.16,5.52,5.19
雌,ci2,a,2,31,290,10,4,14,5,10,1,1,5.63,4.92,5.63,5.1
刺,ci4,v,18,14,1118,161,2,8,27,3,4,0,4.44,6,6.67,6.24
赐,ci4,v,8,14,1118,33,4,12,3,10,2,-1,5.28,5.08,6.35,5.13
葱,cong1,n,6,36,164,11,4,12,15,5,1,1,3.97,6.81,6.53,6.75
丛,cong2,n,4,22,2163,52,3,5,16,2,2,1,3.89,4.75,6.03,4.59
凑,cou4,v,36,6,48,39,4,11,10,5,2,-1,4.64,4.76,5.93,5.36
粗,cu1,a,23,5,127,89,2,11,29,2,2,-1,3.33,5.73,6.59,6.73
促,cu4,v,23,20,133,141,3,9,13,6,2,-1,4.51,3.58,6.19,4.59
醋,cu4,n,17,20,133,15,3,15,3,15,1,-1,4.28,6.62,6.3,6.85
蹿,cuan1,v,7,7,2,3,5,19,1,4,1,1,5.39,5.3,5.29,5.68
窜,cuan4,v,10,8,43,27,3,12,3,5,3,1,4.82,5.15,6.59,5.47
催,cui1,v,23,14,68,37,4,13,10,3,1,1,4.49,4.5,6.41,5.24
摧,cui1,v,3,14,68,17,4,14,5,7,1,1,5.13,4.62,6.19,5.09
脆,cui4,a,3,25,107,49,4,10,1,4,3,-1,4.34,5,6.72,5.53
啐,cui4,v,3,25,107,4,5,11,11,17,1,-1,5.88,4.82,4.44,4.24
翠,cui4,a,3,25,107,53,6,14,11,5,3,-1,4.39,4.3,5.81,5.18
村,cun1,n,365,6,459,375,2,7,15,1,1,1,3.33,6.31,6.77,6.03
存,cun2,v,46,3,286,331,3,6,26,2,3,0,3.78,4.57,6.53,4.79
搓,cuo1,v,14,8,29,12,3,12,3,5,1,-1,4.49,5.58,6.45,5.97
挫,cuo4,v,1,15,573,20,4,10,7,17,2,-1,5.19,3.81,5.52,4.64
错,cuo4,a,52,15,573,353,3,13,26,2,4,-1,3.18,4.64,6.53,5.23
搭,da1,v,53,11,84,65,5,12,20,4,3,0,4.69,4.76,6.23,4.82
达,da2,v,406,34,723,647,2,6,23,2,4,1,4.08,3.85,5.52,4.13
答,da2,v,108,34,723,434,4,12,22,3,2,-1,3.54,5.28,6.67,5.29
打,da3,v,911,1,1410,1198,2,5,134,2,4,-1,3.05,5.75,6.9,6.82
大,da4,a,2964,4,6832,5613,1,3,296,1,3,0,2.38,5.53,6.84,6.81
