Word,Pinyin,Tag,WF,HD,PF,CF,NC,NS,NWF,AoL,NM,REG,AoA,CON,FAM,IMG
芽,ya2,n,3,19,262,16,2,7,12,2,2,1,3.85,6.51,6.69,6.36
崖,ya2,n,3,19,262,28,4,11,12,5,1,-1,4.97,6.36,6.38,6.36
衙,ya2,n,1,19,262,22,5,13,3,16,1,0,5.9,4.73,5.88,4.32
哑,ya3,a,3,10,23,37,2,9,12,8,3,1,4.49,4.92,5.94,6.07
雅,ya3,a,13,10,23,148,3,12,14,7,4,1,4.94,3.51,5.97,4.96
亚,ya4,v,3,29,40,438,1,6,7,7,2,0,4.21,2.63,3.38,3.26
咽,yan1,v,24,29,337,41,3,9,11,8,3,-1,4.5,5.83,5.81,6.04
烟,yan1,n,127,29,337,204,3,10,56,2,4,-1,3.72,6.44,6.87,6.48
淹,yan1,v,16,29,337,18,3,11,2,1,3,1,4.17,5.24,5.97,6.11
腌,yan1,v,14,29,337,3,3,12,1,13,1,1,5.36,5.1,5.41,5.13
延,yan2,v,1,59,1799,109,2,6,19,5,3,1,4.69,3.51,5.45,4.43
严,yan2,a,28,59,1799,369,2,7,32,3,3,0,3.74,4.13,6.22,5.26
言,yan2,n,19,59,1799,554,1,7,81,3,3,0,3.42,5.08,6.3,5.57
岩,yan2,n,3,59,1799,57,2,8,19,4,2,0,3.87,6.21,6.47,5.74
炎,yan2,n,11,59,1799,47,2,8,17,7,2,0,4.69,3.23,5.03,4.18
研,yan2,v,3,59,1799,336,3,9,8,3,2,-1,4.86,4,5.68,4.18
盐,yan2,n,21,59,1799,37,3,10,12,5,2,0,3.59,6.59,6.9,6.66
筵,yan2,n,1,59,1799,5,3,12,3,23,2,1,6.15,4.8,5.41,3.88
颜,yan2,n,1,59,1799,94,5,15,13,1,2,1,3.95,4.2,5.84,4.74
奄,yan3,v,1,60,1609,8,2,8,2,11,2,0,5.69,3.33,3.41,3.15
掩,yan3,v,13,60,1609,77,3,11,13,6,3,1,4.64,5.24,5.97,6.19
眼,yan3,n,243,60,1609,1255,2,11,110,2,3,-1,2.94,6.81,6.55,7
