"Subject","ISI","cgload","Tone_contrast","n_hit","n_fa","n_miss","n_cr","dis_rt","hit_rate","fa_rate","z_hit","z_fa","dprime","speaker","vowel","language","dprime2"
107,"High","sssv","T33-T241",9.5,2.5,7.5,14.5,436.8125,0.56,0.15,0.150969215496777,-1.03643338949379,1.18740260499057,"Constant","Constant","Mandarin",2.24
107,"High","sssv","T33-T45",15.5,1.5,1.5,14.5,488.064516129032,0.91,0.09,1.34075503369022,-1.34075503369022,2.68151006738043,"Constant","Constant","Mandarin",4.29
108,"High","dsdv","T315-T45",8.5,4.5,8.5,12.5,465.78125,0.5,0.26,0,-0.643345405392917,0.643345405392917,"Variable","Variable","Mandarin",1.55
108,"High","dsdv","T33-T241",14.5,3.5,2.5,13.5,425.71875,0.85,0.21,1.03643338949379,-0.80642124701824,1.84285463651203,"Variable","Variable","Mandarin",3.24
108,"High","dsdv","T33-T45",16.5,3.5,0.5,13.5,341.8125,0.97,0.21,1.88079360815125,-0.80642124701824,2.68721485516949,"Variable","Variable","Mandarin",4.43
108,"High","dssv","T315-T45",10.5,3.5,6.5,13.5,630.90625,0.62,0.21,0.305480788099397,-0.80642124701824,1.11190203511764,"Variable","Constant","Mandarin",2.2
108,"High","dssv","T33-T241",12.5,3.5,4.5,13.5,552.96875,0.74,0.21,0.643345405392917,-0.80642124701824,1.44976665241116,"Variable","Constant","Mandarin",2.68
108,"High","dssv","T33-T45",16.5,3.5,0.5,13.5,381.6875,0.97,0.21,1.88079360815125,-0.80642124701824,2.68721485516949,"Variable","Constant","Mandarin",4.43
108,"High","ssdv","T315-T45",12.5,8.5,4.5,8.5,523.15625,0.74,0.5,0.643345405392917,0,0.643345405392917,"Constant","Variable","Mandarin",1.74
108,"High","ssdv","T33-T241",11.5,3.5,5.5,13.5,422.40625,0.68,0.21,0.467698799114508,-0.80642124701824,1.27412004613275,"Constant","Variable","Mandarin",2.43
108,"High","ssdv","T33-T45",16.5,1.5,0.5,15.5,355.0625,0.97,0.09,1.88079360815125,-1.34075503369022,3.22154864184147,"Constant","Variable","Mandarin",5.06
108,"High","sssv","T315-T45",12.5,1.5,4.5,15.5,374.1875,0.74,0.09,0.643345405392917,-1.34075503369022,1.98410043908313,"Constant","Constant","Mandarin",3.31
108,"High","sssv","T33-T241",11.5,1.5,5.5,15.5,313.65625,0.68,0.09,0.467698799114508,-1.34075503369022,1.80845383280472,"Constant","Constant","Mandarin",3.06
108,"High","sssv","T33-T45",16.5,2.5,0.5,14.5,365.5625,0.97,0.15,1.88079360815125,-1.03643338949379,2.91722699764504,"Constant","Constant","Mandarin",4.7
109,"Low","dsdv","T315-T45",8.5,2.5,8.5,13.5,831.58064516129,0.5,0.16,0,-0.994457883209753,0.994457883209753,"Variable","Variable","Mandarin",1.98
109,"Low","dsdv","T33-T241",14.5,1.5,2.5,15.5,687.875,0.85,0.09,1.03643338949379,-1.34075503369022,2.37718842318401,"Variable","Variable","Mandarin",3.86
109,"Low","dsdv","T33-T45",15.5,1.5,1.5,15.5,712.21875,0.91,0.09,1.34075503369022,-1.34075503369022,2.68151006738043,"Variable","Variable","Mandarin",4.29
109,"Low","dssv","T315-T45",11.5,3.5,5.5,13.5,623.96875,0.68,0.21,0.467698799114508,-0.80642124701824,1.27412004613275,"Variable","Constant","Mandarin",2.43
109,"Low","dssv","T33-T241",9.5,2.5,7.5,14.5,525,0.56,0.15,0.150969215496777,-1.03643338949379,1.18740260499057,"Variable","Constant","Mandarin",2.24
109,"Low","dssv","T33-T45",16.5,2.5,0.5,14.5,676.3125,0.97,0.15,1.88079360815125,-1.03643338949379,2.91722699764504,"Variable","Constant","Mandarin",4.7
109,"Low","ssdv","T315-T45",14.5,5.5,2.5,11.5,832.09375,0.85,0.32,1.03643338949379,-0.467698799114508,1.5041321886083,"Constant","Variable","Mandarin",2.86
109,"Low","ssdv","T33-T241",14.5,3.5,2.5,13.5,863,0.85,0.21,1.03643338949379,-0.80642124701824,1.84285463651203,"Constant","Variable","Mandarin",3.24
109,"Low","ssdv","T33-T45",16.5,1.5,0.5,15.5,776.40625,0.97,0.09,1.88079360815125,-1.34075503369022,3.22154864184147,"Constant","Variable","Mandarin",5.06
109,"Low","sssv","T315-T45",14.5,1.5,2.5,15.5,519.9375,0.85,0.09,1.03643338949379,-1.34075503369022,2.37718842318401,"Constant","Constant","Mandarin",3.86
109,"Low","sssv","T33-T241",14.5,0.5,2.5,16.5,514.4375,0.85,0.03,1.03643338949379,-1.88079360815125,2.91722699764504,"Constant","Constant","Mandarin",4.53
109,"Low","sssv","T33-T45",16.5,1.5,0.5,15.5,595.0625,0.97,0.09,1.88079360815125,-1.34075503369022,3.22154864184147,"Constant","Constant","Mandarin",5.06
110,"High","dsdv","T315-T45",11.5,5.5,5.5,11.5,817.03125,0.68,0.32,0.467698799114508,-0.467698799114508,0.935397598229016,"Variable","Variable","Mandarin",2.04
110,"High","dsdv","T33-T241",9.5,3.5,7.5,13.5,777.375,0.56,0.21,0.150969215496777,-0.80642124701824,0.957390462515018,"Variable","Variable","Mandarin",1.97
110,"High","dsdv","T33-T45",15.5,6.5,1.5,10.5,735.34375,0.91,0.38,1.34075503369022,-0.305480788099397,1.64623582178961,"Variable","Variable","Mandarin",3.13
110,"High","dssv","T315-T45",14.5,8.5,2.5,8.5,935.4375,0.85,0.5,1.03643338949379,0,1.03643338949379,"Variable","Constant","Mandarin",2.36
110,"High","dssv","T33-T241",10.5,9.5,6.5,7.5,844.5625,0.62,0.56,0.305480788099397,0.150969215496777,0.15451157260262,"Variable","Constant","Mandarin",0.81
110,"High","dssv","T33-T45",12.5,9.5,4.5,7.5,802.40625,0.74,0.56,0.643345405392917,0.150969215496777,0.492376189896139,"Variable","Constant","Mandarin",1.54
110,"High","ssdv","T315-T45",10.5,1.5,6.5,15.5,718.53125,0.62,0.09,0.305480788099397,-1.34075503369022,1.64623582178961,"Constant","Variable","Mandarin",2.83
110,"High","ssdv","T33-T241",5.5,3.5,11.5,13.5,648.40625,0.32,0.21,-0.467698799114508,-0.80642124701824,0.338722447903732,"Constant","Variable","Mandarin",1.01
110,"High","ssdv","T33-T45",14.5,1.5,2.5,15.5,673,0.85,0.09,1.03643338949379,-1.34075503369022,2.37718842318401,"Constant","Variable","Mandarin",3.86
110,"High","sssv","T315-T45",11.5,1.5,5.5,15.5,687.125,0.68,0.09,0.467698799114508,-1.34075503369022,1.80845383280472,"Constant","Constant","Mandarin",3.06
110,"High","sssv","T33-T241",7.5,1.5,9.5,15.5,556.53125,0.44,0.09,-0.150969215496777,-1.34075503369022,1.18978581819344,"Constant","Constant","Mandarin",2.18
110,"High","sssv","T33-T45",14.5,4.5,2.5,12.5,564.71875,0.85,0.26,1.03643338949379,-0.643345405392917,1.67977879488671,"Constant","Constant","Mandarin",3.06
112,"Low","dsdv","T315-T45",9.5,2.5,7.5,14.5,816.40625,0.56,0.15,0.150969215496777,-1.03643338949379,1.18740260499057,"Variable","Variable","Mandarin",2.24
112,"Low","dsdv","T33-T241",1.5,0.5,15.5,16.5,703.34375,0.09,0.03,-1.34075503369022,-1.88079360815125,0.540038574461034,"Variable","Variable","Mandarin",1.16
112,"Low","dsdv","T33-T45",14.5,0.5,2.5,16.5,737.71875,0.85,0.03,1.03643338949379,-1.88079360815125,2.91722699764504,"Variable","Variable","Mandarin",4.53
112,"Low","dssv","T315-T45",8.5,1.5,8.5,15.5,487.0625,0.5,0.09,0,-1.34075503369022,1.34075503369022,"Variable","Constant","Mandarin",2.4
112,"Low","dssv","T33-T241",0.5,0.5,16.5,16.5,516.25,0.03,0.03,-1.88079360815125,-1.88079360815125,0,"Variable","Constant","Mandarin",0
112,"Low","dssv","T33-T45",16.5,0.5,0.5,16.5,541.625,0.97,0.03,1.88079360815125,-1.88079360815125,3.7615872163025,"Variable","Constant","Mandarin",5.73
112,"Low","ssdv","T315-T45",7.5,2.5,9.5,14.5,858.5625,0.44,0.15,-0.150969215496777,-1.03643338949379,0.885464173997012,"Constant","Variable","Mandarin",1.81
112,"Low","ssdv","T33-T241",4.5,3.5,12.5,13.5,740.8125,0.26,0.21,-0.643345405392917,-0.80642124701824,0.163075841625324,"Constant","Variable","Mandarin",0.67
112,"Low","ssdv","T33-T45",12.5,1.5,4.5,15.5,787.6875,0.74,0.09,0.643345405392917,-1.34075503369022,1.98410043908313,"Constant","Variable","Mandarin",3.31
112,"Low","sssv","T315-T45",10.5,0.5,6.5,16.5,538.625,0.62,0.03,0.305480788099397,-1.88079360815125,2.18627439625065,"Constant","Constant","Mandarin",3.5
112,"Low","sssv","T33-T241",2.5,0.5,14.5,16.5,613.375,0.15,0.03,-1.03643338949379,-1.88079360815125,0.844360218657461,"Constant","Constant","Mandarin",1.6
112,"Low","sssv","T33-T45",15.5,0.5,1.5,16.5,521.28125,0.91,0.03,1.34075503369022,-1.88079360815125,3.22154864184147,"Constant","Constant","Mandarin",4.97
113,"Low","dsdv","T315-T45",8.5,3.5,8.5,13.5,1066.46875,0.5,0.21,0,-0.80642124701824,0.80642124701824,"Variable","Variable","Mandarin",1.75
