Item no.,Condition,Vowel pair,Tone_contrast,speakerA,syllable,tone,token,filenameA,speakerX,syllable,tone,token,filenameX,block_con,block_no
67,AA,a-i,33-241,F2,maa,33,2,Thai_F2_maa33-2,F2,mii,33,2,Thai_F2_mii33-2,block2a,19
68,BB,a-i,33-241,F2,maa,241,2,Thai_F2_maa241-2,F2,mii,241,2,Thai_F2_mii241-2,block2a,20
69,AB,a-i,33-45,F2,maa,33,2,Thai_F2_maa33-2,F2,mii,45,2,Thai_F2_mii45-2,block2a,21
70,BA,a-i,33-45,F2,maa,45,2,Thai_F2_maa45-2,F2,mii,33,2,Thai_F2_mii33-2,block2a,22
71,AA,a-i,33-45,F2,maa,33,2,Thai_F2_maa33-2,F2,mii,33,2,Thai_F2_mii33-2,block2a,23
72,BB,a-i,33-45,F2,maa,45,2,Thai_F2_maa45-2,F2,mii,45,2,Thai_F2_mii45-2,block2a,24
73,AB,i-a,315-45,F2,mii,315,1,Thai_F2_mii315-1,F2,maa,45,1,Thai_F2_maa45-1,block2b,1
74,BA,i-a,315-45,F2,mii,45,1,Thai_F2_mii45-1,F2,maa,315,1,Thai_F2_maa315-1,block2b,2
75,AA,i-a,315-45,F2,mii,315,1,Thai_F2_mii315-1,F2,maa,315,1,Thai_F2_maa315-1,block2b,3
76,BB,i-a,315-45,F2,mii,45,1,Thai_F2_mii45-1,F2,maa,45,1,Thai_F2_maa45-1,block2b,4
77,AB,i-a,33-241,F2,mii,241,1,Thai_F2_mii241-1,F2,maa,33,1,Thai_F2_maa33-1,block2b,5
78,BA,i-a,33-241,F2,mii,33,1,Thai_F2_mii33-1,F2,maa,241,1,Thai_F2_maa241-1,block2b,6
79,AA,i-a,33-241,F2,mii,33,1,Thai_F2_mii33-1,F2,maa,33,1,Thai_F2_maa33-1,block2b,7
80,BB,i-a,33-241,F2,mii,241,1,Thai_F2_mii241-1,F2,maa,241,1,Thai_F2_maa241-1,block2b,8
81,AB,i-a,33-45,F2,mii,45,1,Thai_F2_mii45-1,F2,maa,33,1,Thai_F2_maa33-1,block2b,9
82,BA,i-a,33-45,F2,mii,33,1,Thai_F2_mii33-1,F2,maa,45,1,Thai_F2_maa45-1,block2b,10
83,AA,i-a,33-45,F2,mii,33,1,Thai_F2_mii33-1,F2,maa,33,1,Thai_F2_maa33-1,block2b,11
84,BB,i-a,33-45,F2,mii,45,1,Thai_F2_mii45-1,F2,maa,45,1,Thai_F2_maa45-1,block2b,12
85,AB,i-a,315-45,F2,mii,315,2,Thai_F2_mii315-2,F2,maa,45,2,Thai_F2_maa45-2,block2b,13
86,BA,i-a,315-45,F2,mii,45,2,Thai_F2_mii45-2,F2,maa,315,2,Thai_F2_maa315-2,block2b,14
87,AA,i-a,315-45,F2,mii,315,2,Thai_F2_mii315-2,F2,maa,315,2,Thai_F2_maa315-2,block2b,15
88,BB,i-a,315-45,F2,mii,45,2,Thai_F2_mii45-2,F2,maa,45,2,Thai_F2_maa45-2,block2b,16
89,AB,i-a,33-241,F2,mii,241,2,Thai_F2_mii241-2,F2,maa,33,2,Thai_F2_maa33-2,block2b,17
90,BA,i-a,33-241,F2,mii,33,2,Thai_F2_mii33-2,F2,maa,241,2,Thai_F2_maa241-2,block2b,18
91,AA,i-a,33-241,F2,mii,33,2,Thai_F2_mii33-2,F2,maa,33,2,Thai_F2_maa33-2,block2b,19
92,BB,i-a,33-241,F2,mii,241,2,Thai_F2_mii241-2,F2,maa,241,2,Thai_F2_maa241-2,block2b,20
93,AB,i-a,33-45,F2,mii,45,2,Thai_F2_mii45-2,F2,maa,33,2,Thai_F2_maa33-2,block2b,21
94,BA,i-a,33-45,F2,mii,33,2,Thai_F2_mii33-2,F2,maa,45,2,Thai_F2_maa45-2,block2b,22
95,AA,i-a,33-45,F2,mii,33,2,Thai_F2_mii33-2,F2,maa,33,2,Thai_F2_maa33-2,block2b,23
96,BB,i-a,33-45,F2,mii,45,2,Thai_F2_mii45-2,F2,maa,45,2,Thai_F2_maa45-2,block2b,24
97,AB,a-a,315-45,F4,maa,315,1,Thai_F4_maa315-1,F4,maa,45,1,Thai_F4_maa45-1,block3a,1
