"id","F0","subject","language","Timepoint","tone","syllable","normF0"
"39",233.480492728273,"125","md",3,"M55","ma",0.110044526463091
"39",237.24966217477,"125","md",4,"M55","ma",0.127576718252284
"39",237.80884754012,"125","md",5,"M55","ma",0.130177754159581
"39",238.892566325113,"125","md",6,"M55","ma",0.135218643367072
"39",238.299992375043,"125","md",7,"M55","ma",0.13246230134282
"39",239.338446222168,"125","md",8,"M55","ma",0.137292641891434
"39",238.714806111433,"125","md",9,"M55","ma",0.134391796444172
"39",238.672176819984,"125","md",10,"M55","ma",0.134193507424764
"40",237.205942233709,"125","md",1,"M214","ma",0.127373356105113
"40",158.577439486955,"125","md",2,"M214","ma",-0.238365040595086
"40",156.049522584812,"125","md",3,"M214","ma",-0.250123579070111
"40",130.792454606064,"125","md",4,"M214","ma",-0.367606161406023
"40",103.801446122785,"125","md",5,"M214","ma",-0.49315412204557
"40",84.1135710967286,"125","md",6,"M214","ma",-0.584731750957766
"40",66.9661790259111,"125","md",7,"M214","ma",-0.664492390731991
"40",91.926646986977,"125","md",8,"M214","ma",-0.548389435517779
"40",161.426075876949,"125","md",9,"M214","ma",-0.225114683922092
"40",195.622240749313,"125","md",10,"M214","ma",-0.0660521292910291
"41",228.395180403818,"125","md",1,"M55","ma",0.0863903309577248
"41",214.452664724059,"125","md",2,"M55","ma",0.0215370887803123
"41",232.936129254187,"125","md",3,"M55","ma",0.107512434190197
"41",240.750455236067,"125","md",4,"M55","ma",0.143860564398276
"41",237.491430519119,"125","md",5,"M55","ma",0.128701297298636
"41",237.722706925794,"125","md",6,"M55","ma",0.129777073374958
"41",238.285604132084,"125","md",7,"M55","ma",0.132395374812014
"41",237.139539490172,"125","md",8,"M55","ma",0.127064485503368
"41",236.975380682695,"125","md",9,"M55","ma",0.126300905160954
"41",236.270074512064,"125","md",10,"M55","ma",0.123020192200411
"42",256.623276892124,"125","md",1,"M51","ma",0.217692573667133
"42",218.959833459385,"125","md",2,"M51","ma",0.0425020647029076
"42",216.428050143799,"125","md",3,"M51","ma",0.030725541708223
"42",244.060552178885,"125","md",4,"M51","ma",0.159257392603028
"42",257.967038886843,"125","md",5,"M51","ma",0.223943046972953
"42",246.262251116101,"125","md",6,"M51","ma",0.169498536859678
"42",219.576497696733,"125","md",7,"M51","ma",0.0453704620599891
"42",185.214551014396,"125","md",8,"M51","ma",-0.114463222266582
"42",86.4515691356781,"125","md",9,"M51","ma",-0.573856615041626
"42",89.6869067777424,"125","md",10,"M51","ma",-0.558807527743047
"43",195.68852627801,"125","md",1,"M35","ma",-0.0657438039110065
"43",162.640808446814,"125","md",2,"M35","ma",-0.219464387566419
"43",164.608988384446,"125","md",3,"M35","ma",-0.210309450747572
