Filename	1	2	3	4	5	6	7	8	9	10
_Thai_F2_mii33-1	223.40005210074779	224.95391585766714	229.28858336795793	229.83010605908336	229.1594659781037	228.0056584083416	227.04609495183914	223.9446115952554	210.85702309517936	189.35017738645544
_Thai_F2_mii33-2	217.08874716368373	217.48224703926186	221.45956645546264	223.35211696751182	222.42177903656858	220.17997533023458	219.82011477865697	215.60362729891054	202.68190702099176	180.33701502069266
_Thai_F2_mii45-1	246.76803424428724	229.26818888954776	232.82326810049233	234.2802063003964	234.52141550607547	239.3189026954515	249.24064726552248	266.33588119371007	283.0561320738854	270.1801770535695
_Thai_F2_mii45-2	223.3531117055535	219.74246762431915	223.53891720514224	225.09955273601346	226.8270866246972	234.9155172616138	244.037231265954	256.3802584751878	271.73762319063826	263.53230675498463
_Thai_F4_maa21-1	207.95626053991947	209.4875413550885	211.80576771225117	205.13554822614321	196.4505884749358	188.75738649775113	185.95668050547388	178.28800991596083	172.84355898833581	168.9430897938429
_Thai_F4_maa21-2	200.4528369349447	206.050881576638	210.34483074302238	206.63574723083337	196.78886269894448	184.68514505963333	179.9781911268689	175.47455843869128	170.87539156013003	167.79383038036747
_Thai_F4_maa241-1	218.01560039183207	237.94851437512352	252.80852092988778	260.6060813820904	264.49573297730535	264.3128249582747	259.9352063083446	248.17369706270702	215.11608131269864	191.85138708592612
_Thai_F4_maa241-2	224.8288513863693	232.29915584883406	249.3055076928938	255.77891520547612	255.85681878013887	253.38129008656932	248.99478463276358	229.19386197205984	191.5899493497803	187.4655072542256
_Thai_F4_maa315-1	201.87353265745028	205.58918126659765	199.49045801885399	187.87089691381797	180.04143809914996	178.8096332269555	179.98208949366474	182.39284668817578	189.27592504682835	230.2224298404963
_Thai_F4_maa315-2	206.10096681394205	210.74093463040177	212.9185235861661	200.7509956202139	188.4868799125734	184.73827736786438	182.8984194533596	183.37494273852622	200.62917859620697	243.5167004725933
_Thai_F4_maa33-1	210.87914917488922	214.20782979897916	210.68182267375607	207.85841376763423	207.22522133335642	206.40200319246122	207.1755551854163	206.4023217468405	199.89845607396532	185.21325307394596
_Thai_F4_maa33-2	210.37857431008698	215.7176717320038	219.9507374904876	219.24075036640858	218.5712127159638	222.7632248583598	224.7320574527023	222.13913848774845	211.10161193315125	191.61389590329128
_Thai_F4_maa45-1	214.25159550483875	221.61349431016973	221.54474365961	218.01521420712385	215.34099205287757	212.112661400497	216.69516854703275	230.80174794340877	247.8118642971531	249.3239290833734
_Thai_F4_maa45-2	211.90991738801884	221.27460787842236	223.27541628820913	221.1280416028662	218.95369653410393	219.69572427779843	225.25864178252698	233.37963905993337	252.28791037286672	261.0087029920188
_Thai_F4_mii21-1	199.56903049191538	208.75550414398128	225.2981129605225	224.39415110562118	214.57470645786344	201.6913044190642	196.07369562142048	187.03994620897873	179.97784124378705	173.48801945936057
_Thai_F4_mii21-2	208.56016595867425	215.8950949173412	229.73877025589238	222.44421485172802	214.88403119715952	206.5747137358139	195.55341187959738	188.6798323965777	180.24850226115663	174.4860221033002
_Thai_F4_mii241-1	229.2791252092583	245.70890668439944	267.2456308708517	281.49205614183103	290.20474804624337	289.834489179081	280.191520328057	260.2573061500305	212.39301459145582	168.63110140615467
_Thai_F4_mii241-2	246.86741998414442	251.56122738559756	279.61381276703906	298.73582283672914	306.5648225529552	302.07155247326466	291.33634372560493	256.2930313279961	191.94237836584463	190.26037927697334
_Thai_F4_mii315-1	202.3223440904148	208.14855295152995	217.51693002189413	209.0901481673115	196.30178236531447	189.53814884885523	189.6884526090542	196.68982164528606	220.41095438496149	267.8895769855139
_Thai_F4_mii315-2	212.21775100279785	219.26199047091637	220.19938689444174	211.0472315287184	205.2959946280446	203.63847852792338	207.2869378636429	216.6525622219642	244.6805729939711	293.7400077746246
_Thai_F4_mii33-1	240.04207269107482	237.62086391886498	243.2313837738571	241.99067794897644	242.14138088817495	240.28067307244896	239.29790050480457	239.59689684686705	220.92433908844856	172.21322462551802
_Thai_F4_mii33-2	227.75049614855004	226.82054334890003	238.00245269260432	239.93094771789666	235.67718601067614	237.1753086401234	239.61150890652465	234.39596888811482	214.34085021277892	169.3161526963725
_Thai_F4_mii45-1	204.21535383485667	212.78070503276487	225.08312910387767	225.18059079812645	223.28054262408708	223.8652283044942	228.74826126022325	242.061444498759	259.7690117001135	310.80227989839017
_Thai_F4_mii45-2	213.3296686044015	216.3882161453804	227.9161014156431	226.11569673058472	223.84000264652232	221.3523850857544	226.4834463474469	245.31756702377075	270.2592402872203	343.06855361799165
