focus_type,Odur,Vdur,Cdur,Rdur,Sylldur,Wdur,O1Hexc,Fallexc,Nucleusfallexc,H_N2exc,pd,Pd_rime,Falldur,Risedur,Hf0_Ef0,L1_Hexc,O1f0_Ef0,L1f0_Ef0,L2f0_Ef0,Risesp,Fallsp
bro,0.439442138,-0.040734408,0.049887418,-0.008363662,0.139301749,650,0.038632069,-0.019762535,-0.003075415,0.033893617,-0.293595394,0.556097561,0.121632565,0.112996553,-0.170006767,0.009501232,-0.208638836,-0.179507999,-0.150244232,0.084084262,-0.162477331
bro,0.414667167,-0.140188212,0.093328516,-0.038397493,0.131719337,616,0.510288579,0.102326028,0.009293023,-0.126587991,-0.317258004,0.856287425,0.1508249,-0.559286607,-0.517894307,-0.003561028,-1.028182886,-0.514333279,-0.620220335,0.006367089,0.678442538
bro,0.307366221,-0.186975665,0.152934326,-0.06984801,0.060293551,685,0.036823285,-0.014464344,0.014199021,-0.021780373,-0.196245258,0.709090909,0.310353049,0.300790312,-0.058476186,0.026947555,-0.095299471,-0.085423741,-0.044011842,0.089589172,-0.046606095
bro,-0.113178342,-0.128788449,0.500216997,0.05097825,0.00455425,544,0.003561068,-0.035431424,0.073666537,-0.001417008,-0.135859139,0.561111111,0.004589922,-0.031121164,0.52872847,0.01952575,0.525167402,0.509202721,0.564159894,-0.62741064,-7.719396149
bro,0.488289063,0.102442965,0.082758442,0.09580052,0.252873262,624,-0.037846845,0.003056246,0.149225362,0.131502139,-1.717686079,-0.664893617,1.265984202,0.236776613,0.021527514,0.02357588,0.059374359,-0.002048366,0.018471267,0.099570138,0.002414127
bro,-0.351892506,-0.00097507,0.175753339,0.072507253,-0.098147333,612,-0.158446752,-0.15332586,-0.035173481,0.022387912,-0.023377043,1.006451613,0.2226363,0.021286655,-0.098708332,-0.039812017,0.05973842,-0.058896314,0.054617528,-1.870280533,-0.688683112
bro,-0.041116096,-0.039390376,0.613963318,0.243182576,0.141888578,723,0.043409374,-0.028703107,0.032217576,-0.103050043,-0.022928584,0.64556962,0.259793147,-0.095797768,-0.035123085,0.010022385,-0.078532459,-0.045145469,-0.006419978,-0.104620231,-0.110484465
bro,-0.060595724,-0.117579885,0.148383323,0.013811159,-0.014842335,658,-0.048652471,-0.261498867,0.002204304,-0.017975832,-0.049490418,0.823863636,-0.488737064,0.033784425,-0.263709354,-0.040660261,-0.215056883,-0.223049093,-0.002210487,-1.203520873,0.535050207
bro,0.153303197,0.012599065,0.127735206,0.05957693,0.099387609,627,0.007818105,0.032065001,-0.001684918,-0.024701278,-0.059991701,0.784615385,0.088055976,0.076178937,0.370382985,0.014016664,0.36256488,0.356366321,0.338317983,0.183996582,0.364143386
bro,0.505553121,-0.016951423,0.071333906,0.017781394,0.180427554,614,-0.048132024,-0.135235053,-0.004034068,-0.05460569,-0.051621066,0.56284153,-0.115921435,0.169190608,-0.172237623,-0.044839485,-0.124105599,-0.127398138,-0.03700257,-0.265023487,1.166609558
bro,0.088707666,0.028221689,0.222844933,0.091584997,0.091259656,672,-0.039167238,0.068408679,0.004358195,0.014576797,-0.066094512,0.639344262,0.324187731,0.084327226,-0.069634499,0.025216906,-0.030467261,-0.094851405,-0.138043178,0.299036355,0.211015633
bro,-0.065223371,-0.104169689,0.383202459,0.092845806,0.02182159,604,0.076525906,0.084569835,0.022184303,-0.02670804,-0.0459215,0.582352941,0.232975599,0.541474522,-0.214302353,0.02938392,-0.290828258,-0.243686273,-0.298872188,0.054266487,0.362998682
bro,-0.178145229,-0.309905639,0.284109933,-0.075102029,-0.118780404,738,-0.035346788,0.056710761,0.013980289,-0.023605484,-0.176595411,0.796511628,0.346257367,-0.222441572,-0.326101474,-0.038912247,-0.290754686,-0.287189228,-0.382812235,0.174932439,0.163782108
bro,0.281332214,-0.012920457,0.110030673,0.030350324,0.112724154,545.333334,-0.016892747,0.044120019,0.007211903,0.010473109,-0.045192911,0.742793789,0.260467483,0.268603102,-0.033870897,0.019754789,-0.01697815,-0.053625686,-0.077990917,0.07354639,0.169387821
bro,0.078442898,0.007967716,0.061987307,0.029588919,0.049157542,633,0.040049454,0.430083086,0.001833404,0.061187935,-0.411672024,0.492957746,0.039268228,0.188526788,-0.226591293,0.042067446,-0.266640747,-0.26865874,-0.656674379,0.223137765,10.95244456
bro,0.096848522,0.225133167,-0.238857665,0.04944725,0.067545766,664,0.014107441,0.030351254,-0.003909628,-0.040915739,-0.246517678,0.682291667,0.362883628,0.612150774,0.004917768,-0.012871114,-0.009189673,0.017788882,-0.025433485,-0.021026052,0.083639082
bro,-0.014467831,-0.057202555,0.118554725,0.015235152,0.002144007,665,-0.139309314,-0.077194583,0.012699346,0.008145703,-0.076180104,0.757062147,-0.39650594,-0.218634031,-0.056500048,-0.009206583,0.082809266,-0.047293465,0.020694535,0.042109559,0.194687079
bro,-0.251962551,0.005140545,0.072186144,0.032411885,-0.090964125,573,0.031967443,-0.009126653,-0.03936298,-0.088652072,0.284940612,1.030120482,0.05360746,0.377265437,0.000286626,-0.000568903,-0.031680816,0.000855529,0.009413279,-0.001507965,-0.170249679
bro,0.252609896,0.124810358,-0.133203285,0.035825886,0.114576795,673,0.060097126,0.092968624,-0.059216939,0.016809556,-0.082936102,0.621118012,0.226541545,0.21423143,-0.168153593,0.015497009,-0.22825072,-0.183650602,-0.261122217,0.0723377,0.410382226
bro,-0.112650212,0.498152704,0.210867598,0.379967902,0.250958408,721,-0.111916693,0.008848074,0.028486379,-0.00559639,0.184192886,0.704797048,-0.238806352,0.284871786,0.411017867,0.001179158,0.522934561,0.409838709,0.402169793,0.004139257,-0.037051251
