"subject","stimuli","response","isi","counter","response_rt","rating","rating_rt","percentage","sum"
103,"T33","M55","Low",28,618.214285714286,4.89285714285714,-386.035714285714,1,28
103,"T45","M214","Low",12,670.25,5.25,-254.416666666667,0.428571428571429,28
103,"T45","M35","Low",16,753,4.3125,-374.1875,0.571428571428571,28
104,"T21","M51","High",25,408.76,2.44,-90.32,0.892857142857143,28
104,"T21","M55","High",3,718.333333333333,1.66666666666667,135,0.107142857142857,28
104,"T241","M51","High",13,415.538461538462,2.76923076923077,-65.6923076923077,0.464285714285714,28
104,"T241","M55","High",15,410.066666666667,3.86666666666667,83.0666666666667,0.535714285714286,28
104,"T315","M214","High",14,390,5.57142857142857,288.357142857143,0.5,28
104,"T315","M35","High",14,410.071428571429,4.35714285714286,78,0.5,28
104,"T33","M55","High",28,365.214285714286,3.92857142857143,45.6785714285714,1,28
104,"T45","M214","High",2,725.5,3.5,292.5,0.0714285714285714,28
104,"T45","M35","High",26,437.923076923077,4.61538461538461,129.846153846154,0.928571428571429,28
105,"T21","M55","High",28,555.071428571429,2.39285714285714,532.035714285714,1,28
105,"T241","M51","High",10,544.1,6.1,509,0.357142857142857,28
105,"T241","M55","High",18,722.166666666667,4.77777777777778,862.722222222222,0.642857142857143,28
105,"T315","M214","High",25,508.36,6,823.88,0.961538461538462,26
105,"T315","M35","High",1,384,4,1071,0.0384615384615385,26
105,"T33","M55","High",28,617.321428571429,6.10714285714286,707.071428571429,1,28
105,"T45","M214","High",8,489.875,4.75,473,0.285714285714286,28
105,"T45","M35","High",20,616.85,5.85,945.5,0.714285714285714,28
106,"T21","M214","Low",4,1124.5,2.5,236,0.142857142857143,28
106,"T21","M51","Low",3,1811.66666666667,2.33333333333333,526.666666666667,0.107142857142857,28
106,"T21","M55","Low",21,830.190476190476,2.9047619047619,454.47619047619,0.75,28
106,"T241","M51","Low",19,726.736842105263,4.52631578947368,416.157894736842,0.730769230769231,26
106,"T241","M55","Low",7,607.285714285714,3.85714285714286,660,0.269230769230769,26
106,"T315","M214","Low",17,822.882352941176,4.64705882352941,455.823529411765,0.607142857142857,28
106,"T315","M35","Low",11,921.090909090909,4.45454545454545,657.909090909091,0.392857142857143,28
106,"T33","M214","Low",1,869,3,826,0.0357142857142857,28
106,"T33","M35","Low",2,1234,2.5,732,0.0714285714285714,28
106,"T33","M55","Low",25,732.6,2.84,615,0.892857142857143,28
106,"T45","M214","Low",2,482,5.5,1068,0.0714285714285714,28
106,"T45","M35","Low",26,696.730769230769,5.11538461538461,647.153846153846,0.928571428571429,28
107,"T21","M51","High",28,513,4.89285714285714,772.035714285714,1,28
107,"T241","M51","High",28,498.357142857143,6.75,524.392857142857,1,28
107,"T315","M214","High",13,439.538461538462,4.07692307692308,612.923076923077,0.464285714285714,28
107,"T315","M35","High",15,591.533333333333,5,1082.33333333333,0.535714285714286,28
107,"T33","M51","High",28,780,4.85714285714286,813.285714285714,1,28
107,"T45","M214","High",1,1258,4,600,0.0357142857142857,28
107,"T45","M35","High",27,547.62962962963,5.34615384615385,743.777777777778,0.964285714285714,28
108,"T21","M214","High",2,535,5,-78.5,0.0714285714285714,28
108,"T21","M51","High",22,341.181818181818,3.86363636363636,-136.045454545455,0.785714285714286,28
108,"T21","M55","High",4,488.25,3.25,106.5,0.142857142857143,28
108,"T241","M51","High",22,382.454545454545,4.45454545454545,-83.5454545454545,0.785714285714286,28
108,"T241","M55","High",6,421.666666666667,4.83333333333333,-300.5,0.214285714285714,28
108,"T315","M214","High",18,442.833333333333,6,-163.222222222222,0.642857142857143,28
108,"T315","M35","High",10,325.8,6.3,-328.3,0.357142857142857,28
108,"T33","M55","High",28,374.321428571429,5.89285714285714,-430,1,28
108,"T45","M214","High",4,351.5,5.75,-284.25,0.142857142857143,28
108,"T45","M35","High",24,394.625,6.25,-363.875,0.857142857142857,28
109,"T21","M214","Low",13,570.461538461538,4.38461538461539,532.615384615385,0.464285714285714,28
109,"T21","M51","Low",14,393.928571428571,4.71428571428571,517.357142857143,0.5,28
109,"T21","M55","Low",1,1104,4,540,0.0357142857142857,28
109,"T241","M51","Low",28,361.75,6.42857142857143,299.035714285714,1,28
109,"T315","M214","Low",20,316.8,6.25,449.9,0.714285714285714,28
109,"T315","M35","Low",8,716.375,5.75,739.75,0.285714285714286,28
109,"T33","M51","Low",1,484,3,-88,0.0357142857142857,28
109,"T33","M55","Low",27,380.518518518519,6.44444444444444,269.62962962963,0.964285714285714,28
109,"T45","M214","Low",1,566,6,367,0.0357142857142857,28
109,"T45","M35","Low",27,370.148148148148,6.59259259259259,329.888888888889,0.964285714285714,28
110,"T21","M35","High",1,454,4,603,0.037037037037037,27
110,"T21","M51","High",21,541.380952380952,4.66666666666667,1269.85714285714,0.777777777777778,27
110,"T21","M55","High",5,825.2,3.6,985.4,0.185185185185185,27
110,"T241","M51","High",14,669.285714285714,4.57142857142857,985.785714285714,0.5,28
110,"T241","M55","High",14,638.428571428571,5.07142857142857,1264.71428571429,0.5,28
110,"T315","M214","High",18,673.166666666667,6.66666666666667,1057.33333333333,0.642857142857143,28
110,"T315","M35","High",10,627.3,6.2,877.9,0.357142857142857,28
110,"T33","M55","High",28,599.214285714286,5.25,1280.32142857143,1,28
